iter	Logloss
0	0.6859824083
1	0.6788858241
2	0.6719287635
3	0.6653499492
4	0.6589027347
5	0.652474804
6	0.646202859
7	0.6402127403
8	0.6342298626
9	0.6284286999
10	0.6229699418
11	0.6175781057
12	0.6121381977
13	0.6069913208
14	0.6017064179
15	0.5968131806
16	0.5919022733
17	0.587098895
18	0.5823368679
19	0.5777037136
20	0.5730798079
21	0.5687013148
22	0.5644872898
23	0.5602711653
24	0.5561253848
25	0.5522785311
26	0.5484204334
27	0.5444375344
28	0.5407022687
29	0.5371786844
30	0.5336162385
31	0.5301089353
32	0.5265974566
33	0.5232117456
34	0.52000077
35	0.5169605116
36	0.5138636043
37	0.5107635594
38	0.507892999
39	0.5051635754
40	0.5021742346
41	0.499271414
42	0.4965797922
43	0.4939585984
44	0.4914347932
45	0.4888960397
46	0.4864771491
47	0.4841492505
48	0.4817988255
49	0.4794602563
50	0.4771250389
51	0.4747965539
52	0.4727076404
53	0.4705834301
54	0.4684035843
55	0.4664495621
56	0.4644149036
57	0.4624915404
58	0.4606777165
59	0.4587986
60	0.4570615178
61	0.4553178946
62	0.4536596334
63	0.4520222137
64	0.4503620971
65	0.4486800473
66	0.4470370156
67	0.4455678075
68	0.444021074
69	0.4424014123
70	0.4410152924
71	0.4396726671
72	0.4383332394
73	0.4369364782
74	0.4356187597
75	0.4343535129
76	0.4330214143
77	0.4318084751
78	0.4306715347
79	0.4295750281
80	0.4284136684
81	0.4273082676
82	0.4262591798
83	0.4250832217
84	0.4239825855
85	0.4230514434
86	0.4219460922
87	0.4207625764
88	0.4198981001
89	0.418926499
90	0.4178959296
91	0.4168857062
92	0.4160559093
93	0.4151155637
94	0.4142646173
95	0.4134903271
96	0.412505214
97	0.4116552324
98	0.4107861667
99	0.4099968873
100	0.4092291008
101	0.4085397543
102	0.4078381028
103	0.4070851986
104	0.4063407759
105	0.4056686144
106	0.4050114688
107	0.404353194
108	0.4036737918
109	0.4029579312
110	0.4022913785
111	0.4016532908
112	0.4011554619
113	0.4004297923
114	0.3998401972
115	0.3992554247
116	0.3987226055
117	0.3980309474
118	0.3974884659
119	0.3968383798
120	0.3963181364
121	0.3957845772
122	0.395301086
123	0.3948810029
124	0.3944255743
125	0.393909937
126	0.3934242703
127	0.3930597632
128	0.3926539259
129	0.392281504
130	0.3917538401
131	0.3912703661
132	0.3908637869
133	0.3904279567
134	0.3900573801
135	0.3895310339
136	0.3890507504
137	0.3887606651
138	0.3882974279
139	0.3877704544
140	0.3873030151
141	0.3869735188
142	0.3865904922
143	0.3861741823
144	0.3858305458
145	0.3854165675
146	0.385044677
147	0.3846661156
148	0.3842135389
149	0.3838626802
150	0.3834720719
151	0.3830945103
152	0.3828961845
153	0.3825629757
154	0.3821907274
155	0.3818949266
156	0.3815612433
157	0.3813061508
158	0.3809868413
159	0.3806697453
160	0.3803878621
161	0.3801554599
162	0.379882727
163	0.3796508986
164	0.3794233968
165	0.379275945
166	0.3790183007
167	0.3787336907
168	0.3784957684
169	0.3781584186
170	0.3779102383
171	0.3777379447
172	0.3774594409
173	0.377227956
174	0.3769787683
175	0.3767416401
176	0.3764342628
177	0.3761740752
178	0.3759668135
179	0.3757700808
180	0.3755755569
181	0.3754212259
182	0.3752216179
183	0.3749789964
184	0.3747760996
185	0.374546445
186	0.3742950972
187	0.3740331631
188	0.3737965081
189	0.3735783283
190	0.3734274843
191	0.3731839248
192	0.373023548
193	0.372861705
194	0.372660078
195	0.3724816749
196	0.3723112534
197	0.3721401456
198	0.3719974155
199	0.3718634052
200	0.3717433981
201	0.3714707315
202	0.3712609869
203	0.3710346301
204	0.3708117288
205	0.37058303
206	0.3704140745
207	0.3701665013
208	0.3699226634
209	0.3698287977
210	0.369655174
211	0.3694071045
212	0.369210175
213	0.3690612582
214	0.3688633547
215	0.3687429851
216	0.3684754203
217	0.3682128448
218	0.3680895435
219	0.3679669875
220	0.3677894615
221	0.3675825593
222	0.3673677815
223	0.3672373847
224	0.3670970094
225	0.3669517325
226	0.3667808905
227	0.36657068
228	0.3664230473
229	0.36632024
230	0.3660872537
231	0.3660497722
232	0.3659341796
233	0.3657641197
234	0.3656488471
235	0.3655478826
236	0.3654291525
237	0.3653256918
238	0.3652043944
239	0.3650424347
240	0.3649020173
241	0.364789898
242	0.3646552113
243	0.3645330406
244	0.364339432
245	0.3642743011
246	0.3641770439
247	0.363986204
248	0.3637885678
249	0.363486015
