iter	Passed	Remaining
0	2	616
1	4	578
2	6	557
3	8	530
4	10	514
5	12	500
6	13	475
7	15	469
8	17	463
9	18	455
10	19	433
11	21	428
12	23	423
13	24	419
14	26	416
15	28	413
16	29	410
17	31	407
18	33	406
19	35	404
20	37	404
21	38	402
22	40	400
23	42	398
24	43	395
25	45	395
26	47	393
27	49	392
28	51	391
29	52	384
30	54	383
31	55	380
32	57	378
33	59	375
34	60	373
35	62	371
36	64	369
37	65	368
38	67	366
39	68	359
40	70	357
41	71	355
42	73	354
43	75	352
44	77	351
45	78	349
46	80	347
47	82	345
48	83	343
49	85	342
50	87	340
51	88	338
52	90	336
53	92	336
54	94	334
55	96	333
56	97	331
57	99	329
58	100	325
59	102	323
60	103	321
61	105	319
62	106	315
63	108	314
64	109	312
65	111	310
66	113	308
67	114	306
68	116	305
69	118	303
70	119	301
71	121	299
72	122	297
73	124	296
74	125	293
75	127	291
76	129	289
77	130	288
78	132	286
79	133	283
80	135	281
81	136	280
82	138	278
83	139	276
84	141	274
85	142	272
86	144	270
87	145	268
88	146	265
89	148	264
90	150	262
91	152	261
92	153	258
93	154	256
94	156	255
95	157	252
96	159	250
97	160	249
98	162	247
99	163	245
100	165	244
101	167	242
102	169	241
103	170	239
104	172	237
105	173	236
106	175	234
107	177	232
108	178	231
109	180	229
110	182	228
111	183	226
112	184	223
113	186	222
114	187	220
115	189	218
116	191	217
117	192	215
118	194	214
119	196	212
120	197	210
121	199	209
122	200	207
123	202	205
124	203	203
125	205	201
126	206	200
127	207	198
128	209	196
129	211	194
130	212	193
131	214	191
132	216	190
133	217	188
134	219	187
135	221	185
136	223	183
137	223	181
138	225	180
139	227	178
140	228	176
141	229	174
142	231	173
143	232	171
144	234	169
145	236	168
146	237	166
147	239	165
148	240	163
149	242	161
150	244	160
151	245	158
152	246	156
153	248	154
154	250	153
155	251	151
156	253	150
157	254	148
158	256	146
159	258	145
160	259	143
161	261	142
162	263	140
163	264	138
164	266	137
165	267	135
166	268	133
167	270	131
168	271	130
169	273	128
170	275	127
171	276	125
172	278	123
173	280	122
174	281	120
175	283	119
176	284	117
177	286	115
178	288	114
179	289	112
180	291	111
181	293	109
182	294	107
183	296	106
184	298	104
185	299	103
186	301	101
187	303	99
188	304	98
189	306	96
190	308	95
191	309	93
192	311	91
193	312	90
194	314	88
195	316	87
196	318	85
197	319	83
198	321	82
199	322	80
200	324	79
201	326	77
202	328	75
203	329	74
204	331	72
205	332	71
206	334	69
207	336	67
208	338	66
209	339	64
210	341	63
211	342	61
212	344	59
213	345	58
214	347	56
215	349	54
216	350	53
217	352	51
218	354	50
219	355	48
220	357	46
221	359	45
222	360	43
223	362	42
224	364	40
225	365	38
226	367	37
227	368	35
228	370	33
229	372	32
230	373	30
231	374	29
232	376	27
233	378	25
234	379	24
235	381	22
236	383	21
237	384	19
238	386	17
239	388	16
240	389	14
241	391	12
242	393	11
243	395	9
244	396	8
245	398	6
246	400	4
247	401	3
248	403	1
249	404	0
